grid_x,grid_y,distancia_relativa,angulo_relativo,energia_robo,energia_inimigo,velocidade_inimigo,distancia_absoluta,tipo_inimigo,num_inimigos_visiveis,distancia_parede_mais_proxima,angulo_parede_mais_proxima,location_rating
grid_x,grid_y,distancia_relativa,angulo_relativo,energia_robo,energia_inimigo,velocidade_inimigo,distancia_absoluta,tipo_inimigo,num_inimigos_visiveis,distancia_parede_mais_proxima,angulo_parede_mais_proxima,location_rating
1,0,0,345749,-2,789091,100,000000,100,000000,0,000000,345,749232,sample.Corners,4,214,100797,180,000000,BAD
1,0,0,088328,15,417383,100,000000,100,000000,-2,000000,88,327801,Exemplo.RoboText*,4,152,214581,90,000000,BAD
grid_x,grid_y,distancia_relativa,angulo_relativo,energia_robo,energia_inimigo,velocidade_inimigo,distancia_absoluta,tipo_inimigo,num_inimigos_visiveis,distancia_parede_mais_proxima,angulo_parede_mais_proxima,location_rating
grid_x,grid_y,distancia_relativa,angulo_relativo,energia_robo,energia_inimigo,velocidade_inimigo,distancia_absoluta,tipo_inimigo,num_inimigos_visiveis,distancia_parede_mais_proxima,angulo_parede_mais_proxima,location_rating
grid_x,grid_y,distancia_relativa,angulo_relativo,energia_robo,energia_inimigo,velocidade_inimigo,distancia_absoluta,tipo_inimigo,num_inimigos_visiveis,distancia_parede_mais_proxima,angulo_parede_mais_proxima,location_rating
1,0,0,398592,3,064317,100,000000,100,000000,0,000000,398,591693,battlefieldanaly.shootingRobo*,4,81,309486,270,000000,BAD
0,2,0,551639,6,018828,94,477642,148,316760,-7,000000,551,638843,battlefieldanaly.shootingRobo*,2,18,000000,0,000000,BAD
2,2,0,559418,1,133533,89,455284,121,255977,0,000000,559,417797,sample.Corners,2,18,000000,90,000000,BAD
0,3,0,660826,2,975727,83,143137,144,373347,0,000000,660,825642,battlefieldanaly.shootingRobo*,2,18,000000,270,000000,BAD
2,3,0,547167,-3,192082,78,551319,38,964115,0,000000,547,167310,sample.Corners,2,18,000000,90,000000,GOOD
0,4,0,652870,2,447271,75,271317,130,096444,0,000000,652,869607,battlefieldanaly.shootingRobo*,1,18,000000,270,000000,BAD
2,4,0,625966,-7,401338,70,625605,127,014170,0,000000,625,966108,battlefieldanaly.shootingRobo*,1,18,000000,90,000000,BAD
0,5,0,644970,1,905823,67,569556,103,616435,0,000000,644,970478,battlefieldanaly.shootingRobo*,1,18,000000,270,000000,BAD
2,5,0,617882,-6,859024,62,922484,99,828678,0,000000,617,882202,battlefieldanaly.shootingRobo*,1,18,000000,90,000000,BAD
0,6,0,637130,1,350999,59,813322,76,676700,0,000000,637,130373,battlefieldanaly.shootingRobo*,1,18,000000,270,000000,BAD
2,6,0,609855,-6,302383,55,109682,72,836957,0,000000,609,855117,battlefieldanaly.shootingRobo*,1,18,000000,90,000000,BAD
0,7,0,629351,0,782405,51,986108,48,611802,0,000000,629,351496,battlefieldanaly.shootingRobo*,1,18,000000,270,000000,BAD
2,7,0,601887,-5,730949,47,290293,44,669845,0,000000,601,887125,battlefieldanaly.shootingRobo*,1,18,000000,90,000000,BAD
0,8,0,621636,0,199638,44,131988,20,662552,0,000000,621,636147,battlefieldanaly.shootingRobo*,1,18,000000,270,000000,BAD
2,8,0,593981,-5,144243,39,377157,16,663520,0,000000,593,980605,battlefieldanaly.shootingRobo*,1,18,000000,90,000000,BAD
0,9,0,613987,-0,397712,36,183467,0,000000,0,000000,613,986721,battlefieldanaly.shootingRobo*,1,18,000000,270,000000,BAD
2,9,0,586138,-4,541772,34,050423,0,000000,0,000000,586,138045,battlefieldanaly.shootingRobo*,1,18,000000,90,000000,BAD
grid_x,grid_y,distancia_relativa,angulo_relativo,energia_robo,energia_inimigo,velocidade_inimigo,distancia_absoluta,tipo_inimigo,num_inimigos_visiveis,distancia_parede_mais_proxima,angulo_parede_mais_proxima,location_rating
