robo_x,robo_y,robo_angulo,robo_velocidade,distancia_inimigo,angulo_inimigo,energia_inimigo,potencia_tiro,acerto
638.8967306988686,152.13420172528686,52.94189441950561,0.0,89.76594540219195,104.41622267112487,100.0,3.0,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,56.01817473811058,232.8859296268537,0.0,3.0,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,89.52222045159799,103.79634558504588,100.0,3.0,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,56.01817473811058,232.8859296268537,0.0,3.0,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,116.56854214353758,48.229807000393386,100.0,3.0,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,226.6599366056114,-83.97374066473597,99.0,1.7647582805778357,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,56.01817473811058,232.8859296268537,0.0,3.0,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,343.9378330039438,-63.023904702200475,96.0,1.1630008728798769,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,56.01817473811058,232.8859296268537,0.0,3.0,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,344.792391418491,14.604784519840848,100.0,1.1601184073534294,1
638.8967306988686,152.13420172528686,52.94189441950561,0.0,56.01817473811058,232.8859296268537,0.0,3.0,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,56.01817473811058,232.8859296268537,0.0,3.0,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,56.01817473811058,232.8859296268537,0.0,3.0,1
638.8967306988686,152.13420172528686,52.94189441950561,0.0,437.9845171792949,11.049055497648766,100.0,0.9132742923792773,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,226.6368552905496,-83.72101193188658,103.0,1.7649380083711361,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,226.6368552905496,-83.72101193188658,102.0,1.7649380083711361,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,226.6368552905496,-83.72101193188658,102.0,1.7649380083711361,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,226.65993660561142,-83.97374066473597,101.0,1.7647582805778355,1
638.8967306988686,152.13420172528686,52.94189441950561,0.0,226.71932479213226,-84.47901918032701,101.0,1.7642960094678308,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,227.53388133004287,-87.75245278019474,95.41037194977318,1.7579799441815491,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,227.53388133004287,-87.75245278019474,95.41037194977318,1.7579799441815491,1
638.8967306988686,152.13420172528686,52.94189441950561,0.0,227.53388133004287,-87.75245278019474,86.82182226630617,1.7579799441815491,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,226.53805911219052,-87.77549704363668,86.82182226630617,1.765707720670037,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,217.57738367109067,-87.99238662546628,86.82182226630617,1.8384263715785625,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,217.57738367109067,-87.99238662546628,86.82182226630617,1.8384263715785625,1
638.8967306988686,152.13420172528686,52.94189441950561,0.0,217.48437920707477,-87.73013653634933,78.27394260121687,1.8392125515329332,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,217.31205633131844,-87.20499045018056,78.27394260121687,1.8406709998185824,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,216.85315544039034,-85.36133666932813,78.27394260121687,1.8445661959018806,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,216.85315544039034,-85.36133666932813,78.27394260121687,1.8445661959018806,1
638.8967306988686,152.13420172528686,52.94189441950561,0.0,216.85315544039034,-85.36133666932813,68.23866729201927,1.8445661959018806,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,217.8519358446231,-85.34832150834117,68.23866729201927,1.8361094586980808,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,226.8414430663214,-85.23634274393956,68.23866729201927,1.7633462148407,0
638.8967306988686,152.13420172528686,52.94189441950561,0.0,226.8414430663214,-85.23634274393956,68.23866729201927,1.7633462148407,1
626.92635902025,143.09483217449815,52.94189441950561,-5.0,215.8962598790004,-82.3155395265772,62.171270116607985,1.8527416835482977,0
616.5520368987806,135.26071189714796,52.94189441950561,-7.0,211.66552752718837,-81.30756215453476,62.171270116607985,1.889773949839896,0
571.8626492986045,101.51373224087013,52.94189441950561,-8.0,171.25080477543216,-69.2991686034533,62.171270116607985,2.3357554466651154,1
559.0942528414114,91.87173805336218,52.94189441950561,0.0,162.3260097463095,-64.43587807632227,53.0548200153182,2.4641768785245093,0
559.0942528414114,91.87173805336218,52.94189441950561,0.0,160.4260600571558,-64.21409412759448,53.0548200153182,2.493360491789738,0
559.0942528414114,91.87173805336218,52.94189441950561,0.0,153.79621683911267,-63.39477266211875,53.0548200153182,2.6008442094413993,1
559.0942528414114,91.87173805336218,52.94189441950561,0.0,153.79621683911267,-63.39477266211875,53.0548200153182,2.6008442094413993,0
559.0942528414114,91.87173805336218,52.94189441950561,0.0,153.79621683911267,-63.39477266211875,40.26975874417114,2.6008442094413993,0
559.0942528414114,91.87173805336218,52.94189441950561,0.0,153.79621683911267,-63.39477266211875,40.26975874417114,2.6008442094413993,0
559.0942528414114,91.87173805336218,52.94189441950561,0.0,153.79621683911267,-63.39477266211875,39.26975874417114,2.6008442094413993,1
559.0942528414114,91.87173805336218,52.94189441950561,0.0,153.79621683911267,-63.39477266211875,39.26975874417114,2.6008442094413993,0
559.0942528414114,91.87173805336218,52.94189441950561,0.0,156.97609656050804,-60.28968639167346,28.664693487522747,2.548158660868573,0
